,메뉴,가격
0,숯불 직화 닭갈비(간장맛),"6,900"
1,숯불 직화 닭갈비(고추장맛),"6,900"
2,숯불 직화 닭갈비 덮밥(간장맛),"5,900"
3,소확행 제육 도시락,"2,900"
4,소확행 스팸 도시락,"2,900"
5,멘치카츠,"2,800"
6,스페셜 하이라이스,"5,900"
7,송정식 떡갈비 Ⅱ,"6,900"
8,이남장 설렁탕,"7,900"
9,제육돈까스 도련님,"4,900"
10,사골 조랭이떡 만둣국,"5,900"
11,해바라기,"10,000"
12,매화,"10,500"
13,진달래,"8,000"
14,개나리,"8,700"
15,돈까스도련님 고기고기,"6,600"
16,탕수육도련님 고기고기,"6,100"
17,새치 고기고기,"7,100"
18,돈치 고기고기,"6,100"
19,카츠카츠,"4,900"
20,숯불직화구이,"6,800"
21,소불고기,"5,700"
22,메가치킨제육,"7,800"
23,칠리 찹쌀탕수육도련님,"4,500"
24,동백,"6,200"
25,치킨제육,"5,000"
26,돈까스도련님,"4,900"
27,제육볶음,"4,700"
28,돈치스팸,"5,000"
29,송정식 떡갈비,"6,900"
30,제육 김치찌개 정식,"8,800"
31,제육 김치 부대찌개 정식,"9,200"
32,돈치스팸 김치 부대찌개 정식,"9,200"
33,빅치킨마요 김치 부대찌개 정식,"8,200"
34,치킨마요 김치 부대찌개 정식,"7,600"
35,빅치킨마요 김치찌개 정식,"7,700"
36,치킨마요 김치찌개 정식,"7,100"
37,돈까스도련님 고기고기,"6,600"
38,탕수육도련님 고기고기,"6,100"
39,새치 고기고기,"7,100"
40,돈치 고기고기,"6,100"
41,카츠카츠,"4,900"
42,숯불직화구이,"6,800"
43,소불고기,"5,700"
44,메가치킨제육,"7,800"
45,칠리 찹쌀탕수육도련님,"4,500"
46,동백,"6,200"
47,치킨제육,"5,000"
48,돈까스도련님,"4,900"
49,제육볶음,"4,700"
50,돈치스팸,"5,000"
51,송정식 떡갈비,"6,900"
52,제육 김치찌개 정식,"8,800"
53,제육 김치 부대찌개 정식,"9,200"
54,돈치스팸 김치 부대찌개 정식,"9,200"
55,빅치킨마요 김치 부대찌개 정식,"8,200"
56,치킨마요 김치 부대찌개 정식,"7,600"
57,빅치킨마요 김치찌개 정식,"7,700"
58,치킨마요 김치찌개 정식,"7,100"
59,빅새치마요,"4,700"
60,새치마요,"4,100"
61,메가스팸마요,"5,900"
62,스팸마요,"4,000"
63,메가치킨마요,"6,200"
64,왕치킨마요,"5,100"
65,빅치킨마요,"4,400"
66,치킨마요,"3,800"
67,참치마요,"3,600"
68,돈치마요,"4,100"
69,돈까스 카레,"4,800"
70,잡채볶음밥(중화풍 매운맛),"5,500"
71,잡채볶음밥(오리지널),"5,300"
72,스팸 김치볶음밥,"4,900"
73,김치볶음밥,"4,100"
74,스팸 철판볶음밥,"4,900"
75,소불고기 철판볶음밥,"5,100"
76,나시고랭,"6,300"
77,묵은지 김치찌개,"5,000"
78,김치 부대찌개,"6,100"
79,핫 치즈 닭갈비덮밥,"6,000"
80,오리지널 치즈 닭갈비덮밥,"6,000"
81,숯불직화구이 덮밥,"6,000"
82,마파두부 덮밥,"5,000"
83,왕카레돈까스덮밥,"6,100"
84,새우돈까스 덮밥,"4,400"
85,돈까스 덮밥,"4,300"
86,아보카도 소불고기 명란 비빔밥,"6,700"
87,소불고기 감초고추장 비빔밥,"5,600"
